Name,Math,English,Country,Total,Average
Yvette,85.0,83.0,Ghana,168.0,84.0
John,86.9,79.0,Ethiopia,165.9,82.95
Patricia,86.9,61.0,South Africa,147.9,73.95
Alicia,86.9,79.0,South Africa,165.9,82.95
Jill,86.9,69.0,Ghana,155.9,77.95
Fred,86.9,60.0,Ethiopia,146.9,73.45
Alex,86.9,97.0,Ghana,183.9,91.95
Christy,100.0,70.0,Nigeria,170.0,85.0
Angela,86.9,79.0,Ghana,165.9,82.95
Timothy,75.0,82.0,South Africa,157.0,78.5
George,86.9,92.0,Ghana,178.9,89.45
Brendan,86.9,79.0,Ethiopia,165.9,82.95
Nicholas,88.0,97.0,Ethiopia,185.0,92.5
Lisa,95.0,79.0,Ghana,174.0,87.0
Jose,99.0,79.0,Ethiopia,178.0,89.0
Kelsey,86.9,97.0,Ghana,183.9,91.95
Douglas,52.0,72.0,Kenya,124.0,62.0
Abigail,86.9,89.0,Ethiopia,175.9,87.95
Michael,89.0,79.0,South Africa,168.0,84.0
Kurt,86.9,58.0,Nigeria,144.9,72.45
Danny,89.0,79.0,Kenya,168.0,84.0
James,86.9,79.0,Ethiopia,165.9,82.95
Joshua,97.0,79.0,Ghana,176.0,88.0
